,Цена,Адрес,Цена за метр,"Площадь, кв.м",Расстояние от центра
200,9830397.0,"Москва,ЗАО,Очаково-Матвеевское,Очаковское шоссе,2Ас1•до центра 11,9 км",299160.0,32.85999799438427,11.9
201,9800000.0,"Москва,ЮАО,Нагорный район,Черноморский бульвар,12•до центра 12 км",257895.0,37.999961224529365,0.0
202,15737254.0,"Москва,САО,Головинский район,Кронштадтский бульвар,вл9-11•до центра 13 км",265832.0,59.19999849529026,0.0
203,12000000.0,"Москва,ЗАО,Ново-Переделкино,улица Шолохова,26•до центра 21,2 км",230769.0,52.000052000052,21.2
204,9227505.0,"Москва,Новая Москва,НМАО,к2.2•до центра 17,1 км",233845.0,39.45992003250016,17.1
205,18500000.0,"Москва,САО,Западное Дегунино,Ильменский проезд,14к8•до центра 13,1 км",336364.0,54.99994054060482,13.1
206,8678544.0,"Москва,СЗАО,Покровское-Стрешнево,Волоколамское шоссе,71/13к1•до центра 14,3 км",309948.0,28.0,14.3
207,10500000.0,"Москва,СВАО,Останкинский район,Большая Марьинская улица,15•до центра 6,1 км",328125.0,32.0,6.1
208,15847121.0,"Москва,ЮВАО,Южнопортовый район,1-й Дубровский проезд,78/14с1•до центра 5 км",269968.0,58.69999777751437,0.0
209,18000000.0,"Москва,СВАО,Северное Медведково,улица Тихомирова,5•до центра 14,7 км",277350.0,64.89994591671173,14.7
210,6916455.0,"Москва,ЮАО,Чертаново Южное,улица Газопровод,6Гк1•до центра 18,5 км",253350.0,27.3,18.5
211,11335038.0,"Москва,ЮАО,Даниловский район,2-я Рощинская улица,10•до центра 4,9 км",480298.0,23.60001082661181,4.9
212,8919576.0,"Москва,ЮАО,Нагатино-Садовники,2-й Нагатинский проезд,2к1•до центра 8,8 км",259290.0,34.4,8.8
213,12000000.0,"Москва,САО,Войковский район,улица Адмирала Макарова,6А•до центра 12,3 км",306905.0,39.10004724589042,12.3
214,9990311.0,"Москва,Новая Москва,НМАО,к2.2•до центра 17 км",252090.0,39.62993772065532,0.0
215,15000000.0,"Москва,САО,Западное Дегунино,Ильменский проезд,14к8•до центра 13,1 км",294118.0,50.99993880007344,13.1
216,10189600.0,"Москва,ЮЗАО,Черёмушки,улица Намёткина,вл10•до центра 11,2 км",376000.0,27.1,11.2
217,8700000.0,"Москва,Новая Москва,НМАО,улица Анны Ахматовой,11к1•до центра 22,5 км",310714.0,28.00002574715011,22.5
218,10132956.0,"Москва,ЗАО,Очаково-Матвеевское,Очаковское шоссе,2Ас1•до центра 11,9 км",292860.0,34.6,11.9
219,8100000.0,"Москва,ЮАО,Даниловский район,2-я Рощинская улица,10•до центра 4,9 км",321429.0,25.1999664000448,4.9
220,10134886.0,"Москва,ЗАО,Очаково-Матвеевское,Очаковское шоссе,вл3с9•до центра 12 км",310410.0,32.64999838922715,0.0
221,15000000.0,"Москва,САО,Головинский район,Кронштадтский бульвар,6к2•до центра 12,7 км",306122.0,49.000071866772075,12.7
222,10604505.0,"Москва,ЮАО,Чертаново Южное,улица Газопровод,вл6Г•до центра 18,6 км",210240.0,50.43999714611872,18.6
223,11495000.0,"Москва,САО,Савёловский район,улица Юннатов,14•до центра 6,6 км",330316.0,34.800009687693,6.6
224,5256000.0,"Москва,ЮАО,Чертаново Южное,улица Газопровод,вл6Г•до центра 18,5 км",262800.0,20.0,18.5
225,37000000.0,"Москва,ЗАО,Филёвский Парк,Береговой проезд,5к1•до центра 7,2 км",528571.0,70.00005675680278,7.2
